산업,종목명,시장구분,종목코드
반도체 장비,한화비전,KOSPI,489790.KS
반도체 장비,케이씨텍,KOSPI,281820.KS
반도체 장비,디아이,KOSPI,003160.KS
반도체 장비,미래산업,KOSPI,025560.KS
반도체 장비,신성이엔지,KOSPI,011930.KS
반도체 장비,한미반도체,KOSPI,042700.KS
바이오시밀러(복제 바이오의약품),한미약품,KOSPI,128940.KS
바이오시밀러(복제 바이오의약품),LG화학,KOSPI,051910.KS
바이오시밀러(복제 바이오의약품),종근당,KOSPI,185750.KS
바이오시밀러(복제 바이오의약품),에이프로젠,KOSPI,007460.KS
바이오시밀러(복제 바이오의약품),삼성바이오로직스,KOSPI,207940.KS
바이오시밀러(복제 바이오의약품),녹십자,KOSPI,006280.KS
바이오시밀러(복제 바이오의약품),셀트리온,KOSPI,068270.KS
바이오시밀러(복제 바이오의약품),에이프로젠바이오로직스,KOSPI,003060.KS
바이오시밀러(복제 바이오의약품),프레스티지바이오파마,KOSPI,950210.KS
바이오시밀러(복제 바이오의약품),동아에스티,KOSPI,170900.KS
바이오시밀러(복제 바이오의약품),보령,KOSPI,003850.KS
바이오시밀러(복제 바이오의약품),대웅제약,KOSPI,069620.KS
바이오시밀러(복제 바이오의약품),한올바이오파마,KOSPI,009420.KS
로봇(산업용협동로봇 등),디아이씨,KOSPI,092200.KS
로봇(산업용협동로봇 등),두산,KOSPI,000150.KS
로봇(산업용협동로봇 등),와이투솔루션,KOSPI,011690.KS
로봇(산업용협동로봇 등),두산로보틱스,KOSPI,454910.KS
로봇(산업용협동로봇 등),대동,KOSPI,000490.KS
로봇(산업용협동로봇 등),LIG넥스원,KOSPI,079550.KS
로봇(산업용협동로봇 등),퍼스텍,KOSPI,010820.KS
로봇(산업용협동로봇 등),SJG세종,KOSPI,033530.KS
바이오인식(생체인식),드림텍,KOSPI,192650.KS
바이오인식(생체인식),유니퀘스트,KOSPI,077500.KS
바이오인식(생체인식),엠씨넥스,KOSPI,097520.KS
AI 챗봇(챗GPT 등),카카오,KOSPI,035720.KS
AI 챗봇(챗GPT 등),NAVER,KOSPI,035420.KS
AI 챗봇(챗GPT 등),유엔젤,KOSPI,072130.KS
AI 챗봇(챗GPT 등),이수페타시스,KOSPI,007660.KS
AI 챗봇(챗GPT 등),삼성에스디에스,KOSPI,018260.KS
증강현실,엔씨소프트,KOSPI,036570.KS
시스템 반도체,DB하이텍,KOSPI,000990.KS
시스템 반도체,디아이,KOSPI,003160.KS
시스템 반도체,삼성전자,KOSPI,005930.KS
시스템 반도체,SK하이닉스,KOSPI,000660.KS
시스템 반도체,한미반도체,KOSPI,042700.KS
시스템 반도체,LX세미콘,KOSPI,108320.KS
반도체 재료부품,케이씨텍,KOSPI,281820.KS
반도체 재료부품,두산,KOSPI,000150.KS
반도체 재료부품,해성디에스,KOSPI,195870.KS
반도체 재료부품,KEC,KOSPI,092220.KS
반도체 재료부품,OCI,KOSPI,456040.KS
반도체 재료부품,후성,KOSPI,093370.KS
반도체 재료부품,KPX케미칼,KOSPI,025000.KS
전기차,디아이씨,KOSPI,092200.KS
전기차,한온시스템,KOSPI,018880.KS
전기차,엘앤에프,KOSPI,066970.KS
전기차,삼화전기,KOSPI,009470.KS
전기차,삼성SDI,KOSPI,006400.KS
전기차,기아,KOSPI,000270.KS
전기차,현대위아,KOSPI,011210.KS
전기차,LG에너지솔루션,KOSPI,373220.KS
전기차,SK이노베이션,KOSPI,096770.KS
전기차,KEC,KOSPI,092220.KS
전기차,LG전자,KOSPI,066570.KS
전기차,HL만도,KOSPI,204320.KS
전기차,씨티알모빌리티,KOSPI,308170.KS
전기차,코스모신소재,KOSPI,005070.KS
전기차,삼화전자,KOSPI,011230.KS
전기차,LG화학,KOSPI,051910.KS
전기차,화신,KOSPI,010690.KS
전기차,삼화콘덴서,KOSPI,001820.KS
전기차,인팩,KOSPI,023810.KS
전기차,아진전자부품,KOSPI,009320.KS
전기차,인지컨트롤스,KOSPI,023800.KS
전기차,디와이덕양,KOSPI,024900.KS
전기차,계양전기,KOSPI,012200.KS
전기차,포스코스틸리온,KOSPI,058430.KS
전기차,금호에이치티,KOSPI,214330.KS
전기차,현대차,KOSPI,005380.KS
전기차,명신산업,KOSPI,009900.KS
전기차,현대모비스,KOSPI,012330.KS
전기차,지엠비코리아,KOSPI,013870.KS
전기차,한국앤컴퍼니,KOSPI,000240.KS
전기차,우신시스템,KOSPI,017370.KS
전기차,KG모빌리티,KOSPI,003620.KS
전기차,SKC,KOSPI,011790.KS
전기차,한국단자,KOSPI,025540.KS
전기차,삼영,KOSPI,003720.KS
전기차,성문전자,KOSPI,014910.KS
전기차,SNT모티브,KOSPI,064960.KS
전기차,솔루스첨단소재,KOSPI,336370.KS
철강,세아제강,KOSPI,306200.KS
철강,KG스틸,KOSPI,016380.KS
철강,한국철강,KOSPI,104700.KS
철강,동국씨엠,KOSPI,460850.KS
철강,POSCO홀딩스,KOSPI,005490.KS
철강,포스코스틸리온,KOSPI,058430.KS
철강,대한제강,KOSPI,084010.KS
철강,고려제강,KOSPI,002240.KS
철강,현대제철,KOSPI,004020.KS
철강,동국제강,KOSPI,460860.KS
철강,세아베스틸지주,KOSPI,001430.KS
온디바이스AI,삼성전자,KOSPI,005930.KS
온디바이스AI,대덕전자,KOSPI,353200.KS
온디바이스AI,SK하이닉스,KOSPI,000660.KS
온디바이스AI,삼성전기,KOSPI,009150.KS
온디바이스AI,유니퀘스트,KOSPI,077500.KS
증권,신영증권,KOSPI,001720.KS
증권,유화증권,KOSPI,003460.KS
증권,한국금융지주,KOSPI,071050.KS
증권,교보증권,KOSPI,030610.KS
증권,한양증권,KOSPI,001750.KS
증권,SK증권,KOSPI,001510.KS
증권,유진투자증권,KOSPI,001200.KS
증권,유안타증권,KOSPI,003470.KS
증권,대신증권,KOSPI,003540.KS
증권,현대차증권,KOSPI,001500.KS
증권,다올투자증권,KOSPI,030210.KS
증권,부국증권,KOSPI,001270.KS
증권,삼성증권,KOSPI,016360.KS
증권,NH투자증권,KOSPI,005940.KS
증권,한화투자증권,KOSPI,003530.KS
증권,DB증권,KOSPI,016610.KS
증권,상상인증권,KOSPI,001290.KS
증권,미래에셋증권,KOSPI,006800.KS
증권,키움증권,KOSPI,039490.KS
2차전지,롯데에너지머티리얼즈,KOSPI,020150.KS
2차전지,엘앤에프,KOSPI,066970.KS
2차전지,삼성SDI,KOSPI,006400.KS
2차전지,애경케미칼,KOSPI,161000.KS
2차전지,씨케이솔루션,KOSPI,480370.KS
2차전지,LG에너지솔루션,KOSPI,373220.KS
2차전지,고려아연,KOSPI,010130.KS
2차전지,알루코,KOSPI,001780.KS
2차전지,SK이노베이션,KOSPI,096770.KS
2차전지,에코프로머티,KOSPI,450080.KS
2차전지,코스모화학,KOSPI,005420.KS
2차전지,KG케미칼,KOSPI,001390.KS
2차전지,한솔케미칼,KOSPI,014680.KS
2차전지,PI첨단소재,KOSPI,178920.KS
2차전지,후성,KOSPI,093370.KS
2차전지,코스모신소재,KOSPI,005070.KS
2차전지,동원시스템즈,KOSPI,014820.KS
2차전지,LG화학,KOSPI,051910.KS
2차전지,삼아알미늄,KOSPI,006110.KS
2차전지,포스코퓨처엠,KOSPI,003670.KS
2차전지,조일알미늄,KOSPI,018470.KS
2차전지,율촌화학,KOSPI,008730.KS
2차전지,SK아이이테크놀로지,KOSPI,361610.KS
2차전지,POSCO홀딩스,KOSPI,005490.KS
2차전지,대한유화,KOSPI,006650.KS
2차전지,조광페인트,KOSPI,004910.KS
2차전지,황금에스티,KOSPI,032560.KS
2차전지,세방전지,KOSPI,004490.KS
2차전지,우신시스템,KOSPI,017370.KS
2차전지,TCC스틸,KOSPI,002710.KS
2차전지,SKC,KOSPI,011790.KS
2차전지,한농화성,KOSPI,011500.KS
2차전지,이수스페셜티케미컬,KOSPI,457190.KS
2차전지,테이팩스,KOSPI,055490.KS
2차전지,DI동일,KOSPI,001530.KS
2차전지,솔루스첨단소재,KOSPI,336370.KS
사물인터넷,효성ITX,KOSPI,094280.KS
사물인터넷,HDC랩스,KOSPI,039570.KS
사물인터넷,삼성에스디에스,KOSPI,018260.KS
사물인터넷,LG유플러스,KOSPI,032640.KS
조선,HD현대중공업,KOSPI,329180.KS
조선,HD현대미포,KOSPI,010620.KS
조선,HD한국조선해양,KOSPI,009540.KS
조선,한화오션,KOSPI,042660.KS
조선,삼성중공업,KOSPI,010140.KS
조선,대한조선,KOSPI,439260.KS
조선,HJ중공업,KOSPI,097230.KS
블록체인,카카오,KOSPI,035720.KS
블록체인,KT,KOSPI,030200.KS
블록체인,NAVER,KOSPI,035420.KS
블록체인,SK텔레콤,KOSPI,017670.KS
블록체인,유수홀딩스,KOSPI,000700.KS
블록체인,SK,KOSPI,034730.KS
블록체인,삼성에스디에스,KOSPI,018260.KS
블록체인,롯데이노베이트,KOSPI,286940.KS
블록체인,LG,KOSPI,003550.KS
지능형로봇인공지능(AI),LG전자,KOSPI,066570.KS
지능형로봇인공지능(AI),삼성에스디에스,KOSPI,018260.KS
지능형로봇인공지능(AI),롯데이노베이트,KOSPI,286940.KS
지능형로봇인공지능(AI),한화에어로스페이스,KOSPI,012450.KS
지능형로봇인공지능(AI),퍼스텍,KOSPI,010820.KS
화장품,파미셀,KOSPI,005690.KS
화장품,인스코비,KOSPI,006490.KS
화장품,LG생활건강,KOSPI,051900.KS
화장품,잇츠한불,KOSPI,226320.KS
화장품,달바글로벌,KOSPI,483650.KS
화장품,한국화장품,KOSPI,123690.KS
화장품,미원상사,KOSPI,002840.KS
화장품,메타랩스,KOSPI,090370.KS
화장품,애경산업,KOSPI,018250.KS
화장품,HLB글로벌,KOSPI,003580.KS
화장품,국제약품,KOSPI,002720.KS
화장품,신세계인터내셔날,KOSPI,031430.KS
화장품,제이준코스메틱,KOSPI,025620.KS
화장품,콜마홀딩스,KOSPI,024720.KS
화장품,아모레퍼시픽,KOSPI,090430.KS
화장품,토니모리,KOSPI,214420.KS
화장품,코웨이,KOSPI,021240.KS
화장품,한국화장품제조,KOSPI,003350.KS
화장품,아모레퍼시픽홀딩스,KOSPI,002790.KS
화장품,에이피알,KOSPI,278470.KS
화장품,한국콜마,KOSPI,161890.KS
화장품,에이블씨엔씨,KOSPI,078520.KS
화장품,코스맥스,KOSPI,192820.KS
풍력 에너지,효성,KOSPI,004800.KS
풍력 에너지,한국전력,KOSPI,015760.KS
풍력 에너지,효성중공업,KOSPI,298040.KS
풍력 에너지,한전기술,KOSPI,052690.KS
풍력 에너지,세아제강,KOSPI,306200.KS
풍력 에너지,LS,KOSPI,006260.KS
풍력 에너지,SK이터닉스,KOSPI,475150.KS
풍력 에너지,삼일씨엔에스,KOSPI,004440.KS
풍력 에너지,코오롱글로벌,KOSPI,003070.KS
풍력 에너지,POSCO홀딩스,KOSPI,005490.KS
풍력 에너지,현대건설,KOSPI,000720.KS
풍력 에너지,LS에코에너지,KOSPI,229640.KS
풍력 에너지,두산에너빌리티,KOSPI,034020.KS
풍력 에너지,씨에스윈드,KOSPI,112610.KS
풍력 에너지,세아제강지주,KOSPI,003030.KS
풍력 에너지,SK오션플랜트,KOSPI,100090.KS
풍력 에너지,세진중공업,KOSPI,075580.KS
